	Batf3	Bcl6	Bhlhe40	Creb3l1	Crem	Dot1l	Epas1	Fiz1	Fos	Fosb	Fosl2	Foxa1	Foxo1	Hey1	Hivep1	Ikzf3	Irf1	Jun	Junb	Jund	Kdm2b	Klf13	Klf2	Klf6	Lin54	Mafk	Mlxip	Nfat5	Nfkb1	Nfkb2	Nr1d1	Nr3c1	Nr4a2	Purb	Rora	Scrt1	Skil	Stat3	Stat5a	Thap3	Trafd1	Zbtb21	Zeb1	Zfp131	Zfp768	Zhx1
Cd83	0	0	0.80056	0	0	0	0	0	0	0	0	0	0	0	0.72585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd93	0	-0.58839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdip1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn1a	0	0	0	0	0.9935	0.8541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cers4	0	0.98482	0	0	0	0	0	0	0	0	0	0.35263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chd7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64081	0	0	0	0	0	0	0	0.12359	0	0	0	0	0	0	0	0	0	0.61491	0	0	0	0	0	0	0	0	0	0	0	0	0
Chst15	0	0	0	0	0	0	0	0	0	0	0	0.59328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92075	0	0	0	0.27269	0	0	0	0	0	0	0	0	0	0	0
Cish	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38161	0	0	0	0	0	0	0	0	0	0	0	0	0.82502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clasp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clcn3	0	0	0	0	0	0	0	0	0	0	-0.76698	0	0	0	0	0	0	0	-0.60544	0	0	0	0	0	0	0.63981	0	0.030508	0	0	0	0	0	0	0.96856	0	0	0	0.91435	0	0	0	0	0	0	0
