	Bcl6	Bhlhe40	Crem	Dot1l	Epas1	Foxo1	Hey1	Hivep1	Jun	Junb	Jund	Kdm2b	Klf2	Klf6	Lin54	Nfkb1	Nfkb2	Nr3c1	Nr4a2	Purb	Rora	Skil	Stat3
Rhob	0	0	0	0	0	0	0	0	0.98249	0	0.98482	0	0.88679	0	0	0	0	0	0	0	0	0	0
Rinl	0	0	0	0	0	0	0	-0.60464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Riok1	0	0	0	0	0.84579	0	0	0	0	0	0	0	0	0	0.83062	0	0	0	0	0	0	0	0.95041
Rn45s	0.46778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rora	0	0	0	0	0	0	0	0	0	0	0	0	-0.7368	0	0.80023	0.3838	0	0	0	0	0	0	0
Rprd1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.55816	0	0
Sec24d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80232
Serpinb1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.22057	0	0	0	0.91144	0	0	0	0
Serpine2	0	0	0	0	0	0	0	0.2705	0.58621	-0.67451	0	0	0	0	0	0	0.83727	0	0	0	0	0	0
Sf1	0	0	0	0.67117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sidt2	0	0	0	0	0	0	0	0	0	0.93306	0	0	0	0	0	0	0	0	0	0	0	0	0
Ski	0	0	0	0	0	0	0	0.046931	0	0	0	0.33646	0	0	0	0	0	0	0	0	0	0	0
Slc15a3	0	0	0	0	0	0	0	0	-0.14668	0.40146	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a10	0	0	0	0	0	0	0	0	-0.52038	-0.64352	0	0.095668	0	0	0	0	0	0	0	0	0	0	0
Slc38a1	-0.76267	0	0	0	0	0	0	0.79037	0	0	0	0	0	0	0	0	0.59606	0	0	0	0.99299	0	0
Slc7a1	0	0	0	0.58024	0	0	0	0	0	0	0	0.63454	0	0	0	0	0	0	0.049922	0	0	0	0
Slc7a6os	0.89854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93306	0	0
Slfn2	0	0	0	0	0	0	0	0	0	0	-0.076784	0	0	0	0	0	0	0	0	0	0	0	0
Smap2	0.93306	0	0	0	0	0	0	0.8127	0	0	0	0	0	0	0	0	0	0	-0.14092	0	0.67278	0	0
Smim3	0	0	0	0	0	0	0	0	0	0	0	0	0.53398	0	0	0	0	0	0	0	0	0	0.38931
Socs2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52881	0	0	0	0	0	0	0	0
Src	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90416	0	0
Stat3	0	0	0	0	0	0.83269	0	0	0	0	0	0.52194	0	0	0	0	0	0	0.8735	0	0	0	0
